n,delta,p,corr_p
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
